Type,app,package name,vSoC,GAE,QEMU-KVM,LDplayer,Trinity,Bluestacks
UHDvideo,XPlayer,video.player.videoplayer,59.6733907,23.70945621,16.96407151,8.320167342,27.22328534,1.049987822
UHDvideo,MXPlayer,com.mxtech.videoplayer.ad,59.16520421,46.68254829,23.31516641,18.43915806,12.93259526,1.254918877
UHDvideo,VLC,org.videolan.vlc,55.8769679,36.82425182,13.58861683,0.957287428,0,1.322875251
UHDvideo,Video Player,com.ultisw.videoplayer,59.1268799,0,18.33476372,2.023018565,0,0
UHDvideo,Visha Player,com.transsion.magicshow,59.68488971,43.38187126,13.07982036,0,2.294560135,1.728207691
UHDvideo,Oplayer Lite,com.olimsoft.android.oplayer,55.48563759,44.23414588,16.34575917,1.461023229,11.22410054,3.582135331
UHDvideo,nova,org.courville.nova,59.32549834,39.53947197,18.74099115,4.096274522,6.586946488,2.493467424
UHDvideo,Video Player,online.video.hd.videoplayer,56.39653409,39.32033089,8.767257363,0,0,3.645909398
UHDvideo,video player for android,video.player.audio.player.music,57.54272057,41.80671207,18.89855509,5.726320647,11.85460916,3.402271502
UHDvideo,Mplayer,hd.video.player.videoplayer.mplayer.hdvideoplayer,59.1332287,43.947177,20.32959573,5.722120069,2.009261425,0
360video,VR Media Player,com.xojot.vrplayer,59.62042262,0,11.87396011,0,0,0
360video,HomeTheater VR,com.blevok.HomeTheaterVR,59.22963117,19.10594631,22.08555152,8.215992758,8.716739316,-1
360video,VR Player,com.AAA.VRPlayer,59.65411373,45.53769353,15.82531702,-1,9.287276099,0
360video,iPlay SBS Player,com.panagola.app.iplay,59.67744951,37.5484276,-1,-1,1.78820594,4.67868463
360video,VRTV Lite,se.chai.vrtv.free,59.20597334,0,18.09047366,8.071198481,11.68881693,1.541856875
360video,VR Player,com.vrplayer.vrapp.vrvideos,59.88234172,26.75145866,26.69049814,0,4.353903056,2.517056486
360video,VR 360 Player,com.vrplayer.bestvrvideos,59.62886826,27.9276939,25.60604886,3.990324306,0,0
360video,VR Player,com.vrplayer.vrvideoplayer,59.00963205,29.14270944,21.14319207,1.748535354,2.674391613,-1
360video,VR Media Player,com.rplayer.wrvideo.virtualreality.panorama.vr360,59.7072699,38.19803953,16.30010347,0,12.66305391,10.93234979
360video,VR Player,com.goshi.vr.video.player.hd,59.58628312,30.94583426,25.7273924,2.374290411,1.491484833,0
camera,System Camera,com.android.camera2,59.35014424,26.24838701,34.62783813,-1,-1,19.35190208
camera,OpenCamera,net.sourceforge.opencamera,59.72460912,40.85930435,29.46594843,27.23783958,-1,13.66284393
