Type,app,package name,vSoC,GAE,QEMU-KVM,LDplayer,Bluestacks
camera,System Camera,com.android.camera2,93.18496508171732,367.16567466351773,231.707846030139,220.08970884680832,174.36411326349017
camera,OpenCamera,net.sourceforge.opencamera,108.71075155822732,415.2391203189868,210.5359802695921,220.94582606670593,161.97511527703358
camera,HDcamera,hd.camera,112.72861126371767,415.41088624146215,210.67601252873357,217.18716386345346,176.5180115199429
camera,ProCam X,"com.intermedia.hd,camera.professiona",109.65198444597192,377.6627382774545,219.88369435763704,210.19463027908427,159.43444879395145
camera,Camera FV-5 Lite,com.flavionet.android.camera.lite,110.44708443336624,410.7514887236168,221.10459464595016,209.10273270060725,164.8765140966708
camera,Film it,com.software.illusions.unlimited.filmit,110.97315462042727,375.8133573011727,226.87279894231986,217.21027994086612,157.37327108095755
camera,Professional Camera,best.camera,107.22834529465472,386.73454670339515,218.81759782941185,213.98853237488044,159.923748197361
camera,Camera,com.photo.android.camera,114.4816086254754,386.5980473109167,229.40548935819768,203.5919289059508,162.95842335189775
camera,Camera,beauty.hd.camera,111.09695838539133,363.8096722683088,229.0079189033493,210.6322025609853,164.07422777264287
camera,HD Camera,hd.best.camera,113.0057174125192,398.2534546646307,211.01431573303853,219.1520712442626,158.51451243595528
AR,Arts and Culture,com.google.android.apps.cultural,110.73973729869837,381.3111795029732,283.1018844935231,225.6422950074674,186.91398210488134
AR,Instagram,com.instagram.android,100.14200198575338,378.19962271294105,268.4464401411131,-1.0,175.10533199893993
AR,eBay,com.ebay.mobile,103.50158741961853,376.21903463010045,286.67052463074435,225.6495977822281,185.09892582496957
AR,Google Lens,com.google.android.googlequicksearchbox,115.52393094710854,342.02082764607195,-1.0,276.6947995986121,-1.0
AR,AR Drawing,ar.drawing.sketch.paint.trace.draw.picture.paper,106.17750994998555,338.14492651470516,287.3258406542996,252.99366238872884,177.03488354032274
AR,CalcaApp,com.apliarte.calcaapp,112.67332323640457,385.5095711442462,278.0185453484494,270.15496221193655,180.66018738751217
AR,AR Drawer Pro,com.ardashgdi.drawerprohughd,108.14265137786848,353.60882586795583,252.07123629055113,225.3174146212871,188.22266091454912
AR,AR Drawing Sketch,ar.drawing.sketch.paint.tool,103.87815057126673,377.3538027499791,290.48304872161447,224.23490256738117,184.32080787378527
AR,AR Drawing,com.draw.sketch.ardrawing.trace.anime.paint,99.80534188225684,351.75640431455673,264.2620900134605,274.7216545837256,177.60822111501705
AR,AR Paint,com.osdifa.ardrawing,106.61017160962614,357.81354894320157,248.55553335044567,237.14241858205398,185.21719128862648
Livestream,Streamlabs,com.streamlabs,227.12812297230954,-1.0,-1.0,-1.0,-1.0
Livestream,Larix Screencaster,com.wmspanel.larix_screencaster,214.5985773674874,398.1697693490278,578.508781032001,627.7334482710987,318.69924555502945
Livestream,LiveNow,com.nabiapp.livenow,215.78248979558197,415.715306979053,616.6758766649339,634.4873735062337,300.38445221475337
Livestream,CameraFi Live,com.vaultmicro.camerafi.live,223.1033893117534,395.7719739185361,599.019724683448,663.9174707417346,334.45001672542605
Livestream,Larix Broadcaster,com.wmspanel.arix_broadcaster,215.5602425351202,412.91992877100506,611.4864779726819,655.8805627701493,348.06593913728364
Livestream,RTMP streamer,com.toysoft.rtmpstreamer,212.54939974236254,-1.0,595.1211435529632,621.6564404210357,315.450052206967
Livestream,Omnistream,three_d_innotech.poc_3dinnotech,-1.0,-1.0,-1.0,676.6480047113455,-1.0
Livestream,CamON Live Streaming,com.spynet.camon,225.28911700431814,423.8994464282548,602.4769718732235,-1.0,350.9467976292623
Livestream,Live Streamer,com.avermedia.screenstreamer,-1.0,433.3282802948499,569.6051700194419,-1.0,-1.0
Livestream,Lily Live,com.allstar.lily.live,221.4634759930853,407.9161404917239,-1.0,672.7384149746503,320.9998951189803
