Type,app,package name,vSoC,GAE,QEMU-KVM,LDplayer,Bluestacks
camera,System Camera,com.android.camera2,87.0997310802522,414.75379963300725,219.69356597538373,-1.0,149.3367411034598
camera,OpenCamera,net.sourceforge.opencamera,77.0724333702858,373.135027700232,213.2511639357664,194.28748367970596,169.1059636699985
camera,HDcamera,hd.camera,77.04225401774552,371.31386041650114,213.27841382523084,193.17112891984664,149.6322442517823
camera,ProCam X,"com.intermedia.hd,camera.professiona",82.30407013451548,387.83525266942314,-1.0,205.76086259393327,149.01935184708339
camera,Camera FV-5 Lite,com.flavionet.android.camera.lite,93.52203040294512,379.4543192945147,-1.0,203.00706685366413,150.35262148171265
camera,Film it,com.software.illusions.unlimited.filmit,84.22104023049334,361.5300529633638,212.93074033333565,204.0411751067877,148.77334191031827
camera,Professional Camera,best.camera,87.59744896223792,370.0151262625075,211.8478093839129,202.5969171125861,147.77339885088207
camera,Camera,com.photo.android.camera,92.11761609415629,370.56343093431576,215.84651121331405,200.46051977659909,156.3386371795527
camera,Camera,beauty.hd.camera,90.76230964420247,374.57163898690976,224.86799615655622,206.90192427281022,149.5828146277094
camera,HD Camera,hd.best.camera,82.28629631996783,393.8268540379424,222.76115021394926,200.09070859165752,149.06020266343845
AR,Arts and Culture,com.google.android.apps.cultural,86.95456669118558,335.1981288012531,-1.0,243.98567756975598,159.62396243101787
AR,Instagram,com.instagram.android,101.7494510634464,328.63333080272287,277.92552287248964,-1.0,179.37590562775273
AR,eBay,com.ebay.mobile,94.23601917339762,354.3540528507647,287.3410829723314,243.39506457672243,176.37214352626782
AR,Google Lens,com.google.android.googlequicksearchbox,91.85739809788001,340.12522310736404,-1.0,232.65925147812072,-1.0
AR,AR Drawing,ar.drawing.sketch.paint.trace.draw.picture.paper,99.60496218544938,342.1441170454992,267.52200553298337,234.01637430191155,173.8318607914104
AR,CalcaApp,com.apliarte.calcaapp,96.35056746673287,333.58131278356313,266.64962214617236,240.0672635641831,158.97980949395804
AR,AR Drawing Realistic Face,com.newdevapps.drawrealisticface,88.08404727390591,331.41043430210556,289.6603096460588,251.7443316982366,174.7565160595969
AR,AR Drawing Sketch,ar.drawing.sketch.paint.tool,91.2401173737637,344.0254099678117,296.88744805683064,233.1483339683263,168.54612925958747
AR,AR Drawing,com.draw.sketch.ardrawing.trace.anime.paint,103.47434114126565,333.69430562903017,296.15961688648235,240.39364923916582,163.9703248781732
AR,AR Paint,com.osdifa.ardrawing,95.3680010939274,357.92427520484165,259.80344872146355,242.2619393856083,176.69356802856973
Livestream,Streamlabs,com.streamlabs,327.7873484935722,-1.0,-1.0,-1.0,-1.0
Livestream,Larix Screencaster,com.wmspanel.larix_screencaster,327.60103891745985,490.3011305321884,603.3370728460734,647.1370005023956,400.9863873682778
Livestream,LiveNow,com.nabiapp.livenow,296.32287326525847,512.6282694356182,611.5114114451814,684.360759863168,397.82131856367863
Livestream,CameraFi Live,com.vaultmicro.camerafi.live,289.93698274321025,481.10112358742555,627.675584386277,659.2219783858528,411.5820005380795
Livestream,Larix Broadcaster,com.wmspanel.arix_broadcaster,312.79897909948136,522.447743320473,640.1236097982948,708.5024687118362,422.76665420635453
Livestream,RTMP streamer,com.toysoft.rtmpstreamer,303.1522781361446,-1.0,6.562984566219871,653.799011592018,418.14542058816346
Livestream,Omnistream,three_d_innotech.poc_3dinnotech,-1.0,-1.0,-1.0,676.0661606585982,-1.0
Livestream,CamON Live Streaming,com.spynet.camon,303.1106540671747,502.02654012782466,634.42683778948,-1.0,367.5528452901748
Livestream,Live Streamer,com.avermedia.screenstreamer,-1.0,507.8380609429659,614.2659634796769,-1.0,-1.0
Livestream,Lily Live,com.allstar.lily.live,322.8234161445258,509.44037131681637,-1.0,649.1596203126641,427.84791454065027
