App,vSoC,GAE,QEMU-KVM,LDplayer,Bluestacks,Trinity
com.booking,60,45.08316312,60,60,60,60
com.duolingo,57.10638143,38.01332348,60,60,13.72231385,48.40771348
com.facebook.katana,60,0,0,7.222586999,0,60
com.google.android.apps.magazines,59.42373609,49.99065278,60,60,60,50.24818582
com.google.android.apps.maps,60,59.53911213,60,60,60,60
com.google.android.apps.nbu.paisa.user,60,49.38115686,0,31.81818182,11.02362205,60
com.google.android.apps.photos,59.07398977,47.93454801,0,60,60,60
com.google.android.apps.translate,60,60,60,49.33824761,20.98473572,50.88367416
com.google.android.apps.youtube.music,60,45.1532861,1.6,60,60,60
com.google.android.youtube,60,38.05073431,11.19258973,60,60,52.07714697
com.linkedin.android,60,57.31760302,60,60,60,60
com.mcdonalds.app,60,35.6969697,60,60,60,60
com.microsoft.bing,60,0,0,24.0923726,7.864480758,30.4705681
com.microsoft.office.officehubrow,60,44.16654709,0,43.11455938,46.02578826,29.75690448
com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish,60,39.66552316,0,4.484304933,25.27075812,60
com.netflix.mediaclient,60,0,25.04472272,1.821493625,58.46153846,60
com.pinterest,60,41.59902597,60,56.38960088,60,60
com.skype.raider,60,27.32542092,0,60,60,60
com.snapchat.android,60,2.857142857,0,60,60,60
com.walmart.android,51.67886393,0.465116279,60,60,9.695683591,43.14251127
com.zzkko,60,37.58063695,60,59.38554431,60,60
flipboard.app,60,43.32549454,60,60,60,60
tv.twitch.android.app,60,40.25021345,60,60,60,11.76470588
com.adobe.reader,60,34.18294426,42.09479616,60,60,60
com.amazon.amazonvideo.livingroom,59.78655632,0,60,27.76554111,60,0
